Index,PatchName
404,TCGA-A7-A6VX-01Z-00-DX2_22400_31808.png
331,TCGA-A7-A6VX-01Z-00-DX2_22848_30464.png
85,TCGA-A7-A6VX-01Z-00-DX2_35840_7616.png
48,TCGA-A7-A6VX-01Z-00-DX2_28448_6496.png
224,TCGA-A7-A6VX-01Z-00-DX2_25312_20384.png
361,TCGA-A7-A6VX-01Z-00-DX2_15456_31584.png
444,TCGA-A7-A6VX-01Z-00-DX2_12320_31136.png
134,TCGA-A7-A6VX-01Z-00-DX2_32704_11648.png
50,TCGA-A7-A6VX-01Z-00-DX2_31136_7392.png
364,TCGA-A7-A6VX-01Z-00-DX2_22176_31584.png
24,TCGA-A7-A6VX-01Z-00-DX2_31808_8288.png
82,TCGA-A7-A6VX-01Z-00-DX2_34048_11200.png
458,TCGA-A7-A6VX-01Z-00-DX2_23968_31136.png
169,TCGA-A7-A6VX-01Z-00-DX2_33824_11872.png
476,TCGA-A7-A6VX-01Z-00-DX2_18592_32256.png
481,TCGA-A7-A6VX-01Z-00-DX2_22176_32256.png
431,TCGA-A7-A6VX-01Z-00-DX2_15680_32032.png
41,TCGA-A7-A6VX-01Z-00-DX2_35616_7168.png
319,TCGA-A7-A6VX-01Z-00-DX2_23744_31360.png
308,TCGA-A7-A6VX-01Z-00-DX2_22400_31360.png
132,TCGA-A7-A6VX-01Z-00-DX2_32032_10528.png
125,TCGA-A7-A6VX-01Z-00-DX2_32032_9184.png
26,TCGA-A7-A6VX-01Z-00-DX2_32256_8288.png
411,TCGA-A7-A6VX-01Z-00-DX2_23968_31808.png
257,TCGA-A7-A6VX-01Z-00-DX2_24640_20832.png
362,TCGA-A7-A6VX-01Z-00-DX2_21728_31584.png
433,TCGA-A7-A6VX-01Z-00-DX2_21504_32032.png
417,TCGA-A7-A6VX-01Z-00-DX2_22848_30912.png
385,TCGA-A7-A6VX-01Z-00-DX2_23520_30688.png
197,TCGA-A7-A6VX-01Z-00-DX2_33152_9856.png
160,TCGA-A7-A6VX-01Z-00-DX2_33376_9408.png
356,TCGA-A7-A6VX-01Z-00-DX2_14336_31584.png
236,TCGA-A7-A6VX-01Z-00-DX2_24864_20608.png
253,TCGA-A7-A6VX-01Z-00-DX2_23968_20832.png
243,TCGA-A7-A6VX-01Z-00-DX2_22176_21952.png
315,TCGA-A7-A6VX-01Z-00-DX2_22400_32480.png
217,TCGA-A7-A6VX-01Z-00-DX2_22400_22400.png
213,TCGA-A7-A6VX-01Z-00-DX2_25984_20160.png
193,TCGA-A7-A6VX-01Z-00-DX2_32704_9856.png
472,TCGA-A7-A6VX-01Z-00-DX2_16128_32256.png
441,TCGA-A7-A6VX-01Z-00-DX2_11872_31136.png
393,TCGA-A7-A6VX-01Z-00-DX2_14112_31808.png
448,TCGA-A7-A6VX-01Z-00-DX2_21728_31136.png
366,TCGA-A7-A6VX-01Z-00-DX2_22624_31584.png
339,TCGA-A7-A6VX-01Z-00-DX2_17472_32704.png
97,TCGA-A7-A6VX-01Z-00-DX2_33152_8960.png
52,TCGA-A7-A6VX-01Z-00-DX2_36064_6496.png
208,TCGA-A7-A6VX-01Z-00-DX2_23072_20160.png
402,TCGA-A7-A6VX-01Z-00-DX2_21952_31808.png
1,TCGA-A7-A6VX-01Z-00-DX2_31584_7840.png
179,TCGA-A7-A6VX-01Z-00-DX2_32928_9632.png
329,TCGA-A7-A6VX-01Z-00-DX2_22400_30464.png
23,TCGA-A7-A6VX-01Z-00-DX2_36064_6944.png
211,TCGA-A7-A6VX-01Z-00-DX2_25536_20160.png
218,TCGA-A7-A6VX-01Z-00-DX2_22624_21280.png
187,TCGA-A7-A6VX-01Z-00-DX2_34272_10752.png
440,TCGA-A7-A6VX-01Z-00-DX2_22848_32032.png
38,TCGA-A7-A6VX-01Z-00-DX2_34944_7168.png
320,TCGA-A7-A6VX-01Z-00-DX2_22848_32480.png
3,TCGA-A7-A6VX-01Z-00-DX2_29120_6720.png
198,TCGA-A7-A6VX-01Z-00-DX2_32704_10976.png
21,TCGA-A7-A6VX-01Z-00-DX2_30464_6944.png
71,TCGA-A7-A6VX-01Z-00-DX2_31360_7616.png
234,TCGA-A7-A6VX-01Z-00-DX2_23072_20608.png
73,TCGA-A7-A6VX-01Z-00-DX2_32256_10080.png
216,TCGA-A7-A6VX-01Z-00-DX2_26432_20160.png
78,TCGA-A7-A6VX-01Z-00-DX2_31808_7616.png
358,TCGA-A7-A6VX-01Z-00-DX2_14784_31584.png
341,TCGA-A7-A6VX-01Z-00-DX2_12992_31584.png
465,TCGA-A7-A6VX-01Z-00-DX2_14560_32256.png
19,TCGA-A7-A6VX-01Z-00-DX2_36064_8064.png
0,TCGA-A7-A6VX-01Z-00-DX2_28672_6720.png
127,TCGA-A7-A6VX-01Z-00-DX2_32480_9184.png
446,TCGA-A7-A6VX-01Z-00-DX2_23520_32032.png
419,TCGA-A7-A6VX-01Z-00-DX2_23296_30912.png
157,TCGA-A7-A6VX-01Z-00-DX2_32704_9408.png
117,TCGA-A7-A6VX-01Z-00-DX2_33600_10304.png
18,TCGA-A7-A6VX-01Z-00-DX2_30016_6944.png
133,TCGA-A7-A6VX-01Z-00-DX2_30912_9408.png
244,TCGA-A7-A6VX-01Z-00-DX2_23072_19712.png
421,TCGA-A7-A6VX-01Z-00-DX2_23744_30912.png
180,TCGA-A7-A6VX-01Z-00-DX2_33376_10752.png
395,TCGA-A7-A6VX-01Z-00-DX2_14560_31808.png
407,TCGA-A7-A6VX-01Z-00-DX2_23072_31808.png
103,TCGA-A7-A6VX-01Z-00-DX2_32928_11424.png
95,TCGA-A7-A6VX-01Z-00-DX2_32704_8960.png
175,TCGA-A7-A6VX-01Z-00-DX2_32480_9632.png
460,TCGA-A7-A6VX-01Z-00-DX2_24416_31136.png
415,TCGA-A7-A6VX-01Z-00-DX2_22400_30912.png
226,TCGA-A7-A6VX-01Z-00-DX2_25760_20384.png
327,TCGA-A7-A6VX-01Z-00-DX2_25312_31360.png
34,TCGA-A7-A6VX-01Z-00-DX2_31360_7168.png
233,TCGA-A7-A6VX-01Z-00-DX2_27104_19488.png
204,TCGA-A7-A6VX-01Z-00-DX2_33600_10976.png
115,TCGA-A7-A6VX-01Z-00-DX2_34272_11424.png
114,TCGA-A7-A6VX-01Z-00-DX2_33152_10304.png
373,TCGA-A7-A6VX-01Z-00-DX2_24192_31584.png
275,TCGA-A7-A6VX-01Z-00-DX2_24192_21056.png
254,TCGA-A7-A6VX-01Z-00-DX2_20832_23072.png
185,TCGA-A7-A6VX-01Z-00-DX2_33600_9632.png
304,TCGA-A7-A6VX-01Z-00-DX2_19040_32480.png
485,TCGA-A7-A6VX-01Z-00-DX2_23072_32256.png
259,TCGA-A7-A6VX-01Z-00-DX2_25088_20832.png
379,TCGA-A7-A6VX-01Z-00-DX2_22176_30688.png
151,TCGA-A7-A6VX-01Z-00-DX2_34048_10528.png
265,TCGA-A7-A6VX-01Z-00-DX2_25312_19936.png
303,TCGA-A7-A6VX-01Z-00-DX2_21952_31360.png
230,TCGA-A7-A6VX-01Z-00-DX2_21056_22624.png
166,TCGA-A7-A6VX-01Z-00-DX2_33376_11872.png
163,TCGA-A7-A6VX-01Z-00-DX2_32928_11872.png
67,TCGA-A7-A6VX-01Z-00-DX2_32480_11200.png
450,TCGA-A7-A6VX-01Z-00-DX2_22176_31136.png
342,TCGA-A7-A6VX-01Z-00-DX2_17920_32704.png
190,TCGA-A7-A6VX-01Z-00-DX2_32032_9856.png
74,TCGA-A7-A6VX-01Z-00-DX2_33376_11200.png
264,TCGA-A7-A6VX-01Z-00-DX2_23296_19936.png
369,TCGA-A7-A6VX-01Z-00-DX2_23296_31584.png
288,TCGA-A7-A6VX-01Z-00-DX2_23072_30240.png
228,TCGA-A7-A6VX-01Z-00-DX2_26208_20384.png
129,TCGA-A7-A6VX-01Z-00-DX2_32928_9184.png
344,TCGA-A7-A6VX-01Z-00-DX2_18368_32704.png
355,TCGA-A7-A6VX-01Z-00-DX2_21056_32704.png
381,TCGA-A7-A6VX-01Z-00-DX2_22624_30688.png
13,TCGA-A7-A6VX-01Z-00-DX2_32032_8064.png
296,TCGA-A7-A6VX-01Z-00-DX2_17696_32480.png
389,TCGA-A7-A6VX-01Z-00-DX2_19488_32928.png
81,TCGA-A7-A6VX-01Z-00-DX2_32928_10080.png
312,TCGA-A7-A6VX-01Z-00-DX2_21952_32480.png
